2019-07-15 17:59:31 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:59:34 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:59:34 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (a350dc477606cb499d8f98f2274222da)] -> css selector: [name='txtUsername']]
2019-07-15 17:59:34 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (a350dc477606cb499d8f98f2274222da)] -> css selector: [name='txtPassword']]
2019-07-15 17:59:34 INFO  Log:27 - Login credentails are provided
2019-07-15 17:59:35 INFO  Log:27 - Login button is clicked
2019-07-15 17:59:35 INFO  Log:27 - Closed the Browser
2019-07-15 17:59:35 INFO  Log:27 - test case ended
2019-07-15 17:59:38 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:59:42 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:59:42 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (09d4b29231428c38fcacda0a252a0dae)] -> css selector: [name='txtUsername']]
2019-07-15 17:59:42 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (09d4b29231428c38fcacda0a252a0dae)] -> css selector: [name='txtPassword']]
2019-07-15 17:59:42 INFO  Log:27 - Login credentails are provided
2019-07-15 17:59:47 INFO  Log:27 - Login button is clicked
2019-07-15 17:59:47 INFO  Log:27 - Closed the Browser
2019-07-15 17:59:47 INFO  Log:27 - test case ended
2019-07-15 17:59:51 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:59:54 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:59:55 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (ae9272e542e65999d9da5c8cc89d9fea)] -> css selector: [name='txtUsername']]
2019-07-15 17:59:55 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (ae9272e542e65999d9da5c8cc89d9fea)] -> css selector: [name='txtPassword']]
2019-07-15 17:59:55 INFO  Log:27 - Login credentails are provided
2019-07-15 17:59:59 INFO  Log:27 - Login button is clicked
2019-07-15 17:59:59 INFO  Log:27 - Closed the Browser
2019-07-15 17:59:59 INFO  Log:27 - test case ended
2019-07-15 18:00:03 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:00:06 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:00:06 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (a0982224709aece96fa51619978186c2)] -> css selector: [name='txtUsername']]
2019-07-15 18:00:07 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (a0982224709aece96fa51619978186c2)] -> css selector: [name='txtPassword']]
2019-07-15 18:00:07 INFO  Log:27 - Login credentails are provided
2019-07-15 18:00:12 INFO  Log:27 - Login button is clicked
2019-07-15 18:00:12 INFO  Log:27 - Closed the Browser
2019-07-15 18:00:13 INFO  Log:27 - test case ended
