2019-07-15 18:06:09 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:06:21 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:06:21 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (96e3f0195a349cd3bdf521b769cfa96a)] -> css selector: [name='txtUsername']]
2019-07-15 18:06:21 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (96e3f0195a349cd3bdf521b769cfa96a)] -> css selector: [name='txtPassword']]
2019-07-15 18:06:21 INFO  Log:27 - Login credentails are provided
2019-07-15 18:06:26 INFO  Log:27 - Login button is clicked
2019-07-15 18:06:26 INFO  Log:27 - Closed the Browser
2019-07-15 18:06:27 INFO  Log:27 - test case ended
2019-07-15 18:06:30 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:06:40 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:06:40 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (b6923fbc9897261e4abe6c9e4d324fb5)] -> css selector: [name='txtUsername']]
2019-07-15 18:06:40 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (b6923fbc9897261e4abe6c9e4d324fb5)] -> css selector: [name='txtPassword']]
2019-07-15 18:06:40 INFO  Log:27 - Login credentails are provided
2019-07-15 18:06:45 INFO  Log:27 - Login button is clicked
2019-07-15 18:06:45 INFO  Log:27 - Closed the Browser
2019-07-15 18:06:45 INFO  Log:27 - test case ended
2019-07-15 18:06:49 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:06:53 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:06:53 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (febe429221cacb0ee0c489790aebd7c8)] -> css selector: [name='txtUsername']]
2019-07-15 18:06:53 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (febe429221cacb0ee0c489790aebd7c8)] -> css selector: [name='txtPassword']]
2019-07-15 18:06:53 INFO  Log:27 - Login credentails are provided
2019-07-15 18:06:57 INFO  Log:27 - Login button is clicked
2019-07-15 18:06:57 INFO  Log:27 - Closed the Browser
2019-07-15 18:06:59 INFO  Log:27 - test case ended
2019-07-15 18:07:02 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:07:06 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:07:06 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (06f0d4a6d96e6023407c1805479f4dde)] -> css selector: [name='txtUsername']]
2019-07-15 18:07:06 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (06f0d4a6d96e6023407c1805479f4dde)] -> css selector: [name='txtPassword']]
2019-07-15 18:07:06 INFO  Log:27 - Login credentails are provided
2019-07-15 18:07:11 INFO  Log:27 - Login button is clicked
2019-07-15 18:07:11 INFO  Log:27 - Closed the Browser
2019-07-15 18:07:11 INFO  Log:27 - test case ended
