2019-07-15 17:58:34 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:58:45 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:58:45 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (1735199c474c0c496607ed61d00ff1c5)] -> css selector: [name='txtUsername']]
2019-07-15 17:58:45 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (1735199c474c0c496607ed61d00ff1c5)] -> css selector: [name='txtPassword']]
2019-07-15 17:58:45 INFO  Log:27 - Login credentails are provided
2019-07-15 17:58:45 INFO  Log:27 - Login button is clicked
2019-07-15 17:58:45 INFO  Log:27 - Closed the Browser
2019-07-15 17:58:46 INFO  Log:27 - test case ended
2019-07-15 17:58:49 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:58:53 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:58:53 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (941d30903ad980972623a5f01f0e705c)] -> css selector: [name='txtUsername']]
2019-07-15 17:58:53 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (941d30903ad980972623a5f01f0e705c)] -> css selector: [name='txtPassword']]
2019-07-15 17:58:53 INFO  Log:27 - Login credentails are provided
2019-07-15 17:58:58 INFO  Log:27 - Login button is clicked
2019-07-15 17:58:58 INFO  Log:27 - Closed the Browser
2019-07-15 17:58:58 INFO  Log:27 - test case ended
2019-07-15 17:59:01 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:59:05 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:59:05 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (b92a6a08aa5389318821747f6601aeec)] -> css selector: [name='txtUsername']]
2019-07-15 17:59:05 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (b92a6a08aa5389318821747f6601aeec)] -> css selector: [name='txtPassword']]
2019-07-15 17:59:05 INFO  Log:27 - Login credentails are provided
2019-07-15 17:59:09 INFO  Log:27 - Login button is clicked
2019-07-15 17:59:09 INFO  Log:27 - Closed the Browser
2019-07-15 17:59:09 INFO  Log:27 - test case ended
2019-07-15 17:59:12 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:59:16 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:59:16 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (34c45f27f0c4e285eb30dc63d8280dd0)] -> css selector: [name='txtUsername']]
2019-07-15 17:59:16 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (34c45f27f0c4e285eb30dc63d8280dd0)] -> css selector: [name='txtPassword']]
2019-07-15 17:59:16 INFO  Log:27 - Login credentails are provided
2019-07-15 17:59:20 INFO  Log:27 - Login button is clicked
2019-07-15 17:59:20 INFO  Log:27 - Closed the Browser
2019-07-15 17:59:20 INFO  Log:27 - test case ended
