2019-07-15 17:57:41 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:57:50 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:57:50 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (6a95e79eca20f5a396531aaf813ea970)] -> css selector: [name='txtUsername']]
2019-07-15 17:57:50 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (6a95e79eca20f5a396531aaf813ea970)] -> css selector: [name='txtPassword']]
2019-07-15 17:57:50 INFO  Log:27 - Login credentails are provided
2019-07-15 17:57:59 INFO  Log:27 - Login button is clicked
2019-07-15 17:57:59 INFO  Log:27 - Closed the Browser
2019-07-15 17:57:59 INFO  Log:27 - test case ended
2019-07-15 17:58:02 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 17:58:06 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 17:58:06 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (2b092df0fbd06ca5aa547e007ea1327e)] -> css selector: [name='txtUsername']]
2019-07-15 17:58:06 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (2b092df0fbd06ca5aa547e007ea1327e)] -> css selector: [name='txtPassword']]
2019-07-15 17:58:06 INFO  Log:27 - Login credentails are provided
2019-07-15 17:58:10 INFO  Log:27 - Login button is clicked
2019-07-15 17:58:10 INFO  Log:27 - Closed the Browser
2019-07-15 17:58:11 INFO  Log:27 - test case ended
2019-07-15 17:58:14 INFO  Log:27 - The URL of Orange HRM is loaded.
